"erklaerung";"anmerkung";"hilfe";"lfd_nr";"zeile";"schwierigkeit";"kapitel";"typ";"altertyp";"frage";"antwort";2;3;4;5;6;7;8;9;;
;;;"M001";1;1;"Kraft, Masse und Gewicht";"1X";1;"Wie heißt die Einheit der Kraft ?";"Newton";;;;;;;;;;"1 Kraft, Masse und Gewicht"
;;;"M002";3;1;"Arbeit und Leistung";"1X";1;"Welche Einheit hat die Leistung ?";"Watt";;;;;;;;;;"2 einfache Maschinen"
;;;"M003";3;1;"Arbeit und Leistung";"1X";1;"Welche Abkürzung hat die Einheit der Leistung ?";"W";;;;;;;;;;"3 Arbeit und Leistung"
;;;"M004";3;1;"Arbeit und Leistung";"1o3";"o13";"Mit welcher Formel berechnet man die mechanische Arbeit?";"W=F*l";"W=Fl";"W=F*s";;;;;;;;
;;;"M005";1;1;"Kraft, Masse und Gewicht";"1X";1;"Wie wird die Einheit der Masse abgekürzt ?";"kg";;;;;;;;;;
;;;"M006";1;1;"Kraft, Masse und Gewicht";1;1;"Woran kann man eine Kraft erkennen ?";"Bewegungsänderung oder Verformung";;;;;;;;;;
;;;"M007";1;1;"Kraft, Masse und Gewicht";"1o2";"o12";"Wie heißt das Messgerät mit dem man Kräfte misst?";"Federwaage";;;;;;;;;;
;;;"M008";1;1;"Kraft, Masse und Gewicht";1;1;"Mit welcher Waage bestimmt man die Masse?";"Balkenwaage";;;;;;;;;;
;;;"M009";1;1;"Kraft, Masse und Gewicht";"1o3";"o13";"Wie groß ist die Masse von 1 Liter Wasser ?";"m=1 kg";"1kg";"1 Kilogramm";"Ein Kilogramm";;;;;;;
;;;"M010";1;1;"Kraft, Masse und Gewicht";1;1;"Wie viel Kubikzentimeter entsprechen 1 Liter Wasser ?";"1000";;;;;;;;;;
;;;"M011";1;1;"Kraft, Masse und Gewicht";"1o2";"o12";"Welche Dichte hat Wasser ?";"1 g/cm³";;;;;;;;;;
;;;"M012";1;1;"Kraft, Masse und Gewicht";"1o2";"o12";"Welche Masse hat 1 m³ Wasser ?";"1000kg";;;;;;;;;;
;;;"M013";1;1;"Kraft, Masse und Gewicht";"w";"w";"Hat ein Liter Wasser auf einem Berg die gleiche Masse wie auf Meereshöhe ?";"wahr";;;;;;;;;;
;;;"M014";1;1;"Kraft, Masse und Gewicht";"w";"w";"Hat ein Liter Wasser auf einem Berg die gleiche Masse wie auf Meereshöhe ?";"falsch";;;;;;;;;;
;;;"M015";1;1;"Kraft, Masse und Gewicht";"1o3";2;"Wie lautet das Hooksche Gesetz ?";"Die Ausdehnung einer Feder ist proportional zur angreifenden Kraft";"l~F";"proportional";;;;;;;;
;"(Die Masse der losen Rollen, sowie die Reibung werden nicht berücksichtigt)";;"M016";2;1;"einfache Maschinen";"p1o2";"o12";"Mit welcher Kraft muss man ziehen, wenn man einen Flaschenzug mit 4 Seilen (Rollen) einsetzt?";"Ein Viertel";"¼";;;;;;;;;
;;;"M017";3;1;"Arbeit und Leistung";"1X";1;"Wie wird die Einheit der Kraft abgekürzt ?";"N";;;;;;;;;;
;;;"M018";3;1;"Arbeit und Leistung";"1X";1;"Wie heißt die Einheit der Arbeit ?";"Newtonmeter";;;;;;;;;;
;;;"M019";3;1;"Arbeit und Leistung";"1X";1;"Wie heißt die Einheit der Leistung ?";"Watt";;;;;;;;;;
;;;"M020";3;1;"Arbeit und Leistung";"1X";1;"Wie wird die Einheit der Arbeit abgekürzt ?";"Nm";;;;;;;;;;
;;;"M021";3;1;"Arbeit und Leistung";"1X";1;"Wie wird die Einheit der Leistung abgekürzt ?";"Watt";;;;;;;;;;
;;;"M022";3;1;"Arbeit und Leistung";"1X";1;"Welche Einheit hat die Arbeit ?";"Newtonmeter";;;;;;;;;;
;;;"M023";3;1;"Arbeit und Leistung";"1X";1;"Wie wird die Einheit der Arbeit abgekürzt ?";"Nm";;;;;;;;;;
