"erklaerung";"anmerkung";"hilfe";"lfd_nr";"zeile";"kapitel";"schwierigkeit";"typ";"frage";"antwort";2;3;4;5;6;7;8;9;;
"Es ist die Siedetemperatur von Wasser und die Schmelztemperatur von Wasser";;;"W003";1;"Temperatur und Thermometer";1;"1o(2u3)o(4u5)";"Bei welchen Temperaturen liegen die Fixpunkte der Celsiusskala?";"0°C und 100°C";"0°C";"100°C";"0°Celsius";"100°Celsius";;;;;;"1 Temperatur und Thermometer"
;"Bei normalem Luftdruck (1020hPa)";;"W007";1;"Temperatur und Thermometer";1;"1o3";"Welche Temperatur hat Wasser wenn es siedet?";"100°C";"100°Celsius";"373K";;;;;;;;"2 Ausdehnung"
;;;"W011";1;"Temperatur und Thermometer";1;"1o2";"Wer hat unsere Temperaturskala erfunden ?";"Anders Celsius";"Celsius";;;;;;;;;"3 Anomalie des Wassers"
;;;"W012";1;"Temperatur und Thermometer";1;"1o2";"Welche Temperatur hat Eiswasser (Wasser in dem Eis schwimmt)?";"0°C";"0°Celsius";;;;;;;;;"4 Teilchenmodell"
;;;"W016";1;"Temperatur und Thermometer";1;"1Y";"Wie heißt das Messgerät mit dem man Temperaturen misst ?";"Thermometer";;;;;;;;;;"5 Wärmeausbreitung"
;;;"W017";1;"Temperatur und Thermometer";1;"1o2";"Welches ist der Gefrierpunkt von Wasser ?";"0°C";"0°Celsius";;;;;;;;;
;;;"W020";1;"Temperatur und Thermometer";1;"p1Y";"Wie nennt man so ein Gerät ?";"Thermometer";;;;;;;;;;
"Das ist ein Barometer. Man misst mit ihm den Luftdruck.";;;"W022";1;"Temperatur und Thermometer";1;"p";"Bei welchem Gerät handelt es sich nicht um einen Thermometer?";;;;;;;;;;;
"Der Begriff 'kochen' kommt aus der Küche. In der Naturwisseenschaft sagt man 'sieden'.";;;"W023";1;"Temperatur und Thermometer";1;"1o2f3Y";"Was passiert mit Wasser bei 100°C?";"Es siedet";"siedet";"kocht";;;;;;;;
;;;"W043";1;"Temperatur und Thermometer";1;"1o(2u3)Y";"Die niedrigste Temperatur beträgt -273,15 °Celsius. Nenne dafür den Fachbegriff.";"absoluter Nullpunkt";"absolute";"Nullpunkt";;;;;;;;
;;;"W044";1;"Temperatur und Thermometer";1;1;"Für was steht ""°C""?";"Grad Celsius";;;;;;;;;;
;;;"W045";1;"Temperatur und Thermometer";1;1;"Für was steht ""K""?";"Kelvin";;;;;;;;;;
;"Bei normalem Luftdruck (1020hPa)";;"W052";1;"Temperatur und Thermometer";1;"1o3";"Bei wieviel °Celsius liegt die Siedetemperatur von Wasser?";"100°Celsius";"100 Grad Celsius";"100°C";;;;;;;;
;;;"W015";2;"Ausdehnung";1;"1o(2u(3o5))Y";"Warum soll man nach dem Tanken das Auto nicht auf dem Parklatz in die Sonne stellen ?";"Weil sich das Benzin beim Erwärmen ausdehnt ";"dehnt";"Wärme";"warm";"Erwärmung";;;;;;
;;;"W024";2;"Ausdehnung";1;"1o4f4o5Y";"Wie verändert sich das Volumen eines Körpers, wenn sich der Körper erwärmt?";"Das Volumen wird größer";"größer";"mehr";"dehnt";"weniger";"kleiner";;;;;
;;;"W028";2;"Ausdehnung";1;"a";"Wo dehnt sich das Volumen bei einer Temperaturerhöhung am meisten aus?";"Gase";"Flüssigkeiten";"feste Körper";;;;;;;;
;;;"W030";2;"Ausdehnung";1;"1o3f4o6Y";"(Fast alle) feste körper dehnen sich aus, wenn sie .... werden";"erwärmt";"warm";"wärmer";"abkühlt";"kalt";"kälter";;;;;
;;;"W031";2;"Ausdehnung";1;"1o3";"(Fast alle) feste Körper ziehen sich zusammen, wenn sie ... werden.";"abgekühlt";"kalt";"kälter";;;;;;;;
